label,group,group_definition,n,base_rate_true_positive_rate,predicted_positive_rate,TN,FP,FN,TP,accuracy,precision,recall_TPR,specificity_TNR,FPR,FNR,F1,AUC,base_rate_true_positive_rate_gap_vs_no_identity_mention,predicted_positive_rate_gap_vs_no_identity_mention,accuracy_gap_vs_no_identity_mention,precision_gap_vs_no_identity_mention,recall_TPR_gap_vs_no_identity_mention,FPR_gap_vs_no_identity_mention,FNR_gap_vs_no_identity_mention,F1_gap_vs_no_identity_mention,AUC_gap_vs_no_identity_mention
identity_hate,sexuality_lgbtq,identity_term_mention_from_jigsaw_comment_text,179,0.29608938547486036,0.37988826815642457,100,26,11,42,0.7932960893854749,0.6176470588235294,0.7924528301886793,0.7936507936507936,0.20634920634920634,0.20754716981132076,0.6942148760330579,0.8749625636418089,0.292378713372843,0.37602080709235014,-0.20278418656309827,0.14467408585055647,0.29949508370980604,0.2043033583714484,-0.299495083709806,0.21145625534340273,-0.11191231306426508
identity_hate,race_latino,identity_term_mention_from_jigsaw_comment_text,33,0.0,0.06060606060606061,31,2,0,0,0.9393939393939394,0.0,0.0,0.9393939393939394,0.06060606060606061,0.0,0.0,,-0.0037106721020173515,0.056738599541986186,-0.05668633655463373,-0.47297297297297297,-0.49295774647887325,0.058560212628302646,-0.5070422535211268,-0.48275862068965514,
identity_hate,race_black,identity_term_mention_from_jigsaw_comment_text,253,0.14624505928853754,0.13438735177865613,207,9,12,25,0.9169960474308301,0.7352941176470589,0.6756756756756757,0.9583333333333334,0.041666666666666664,0.32432432432432434,0.7042253521126761,0.964964964964965,0.14253438718652017,0.1305198907145817,-0.0790842285177431,0.2623211446740859,0.1827179291968024,0.0396208186889087,-0.1827179291968024,0.22146673142302098,-0.02190991174110901
identity_hate,race_white,identity_term_mention_from_jigsaw_comment_text,187,0.03208556149732621,0.0427807486631016,176,5,3,3,0.9572192513368984,0.375,0.5,0.9723756906077348,0.027624309392265192,0.5,0.42857142857142855,0.9226519337016575,0.028374889395308855,0.03891328759902718,-0.03886102461167473,-0.09797297297297297,0.007042253521126751,0.02557846141450723,-0.007042253521126751,-0.05418719211822659,-0.06422294300441644
identity_hate,religion_jewish,identity_term_mention_from_jigsaw_comment_text,249,0.08032128514056225,0.07630522088353414,223,6,7,13,0.9477911646586346,0.6842105263157895,0.65,0.9737991266375546,0.026200873362445413,0.35,0.6666666666666667,0.9519650655021834,0.0766106130385449,0.07243775981945971,-0.048289111289938624,0.21123755334281652,0.15704225352112677,0.024155025384687452,-0.15704225352112677,0.1839080459770116,-0.034909811203890584
identity_hate,race_arab_middle_eastern,identity_term_mention_from_jigsaw_comment_text,129,0.015503875968992248,0.03875968992248062,124,3,0,2,0.9767441860465116,0.4,1.0,0.9763779527559056,0.023622047244094488,0.0,0.5714285714285715,0.9803149606299213,0.011793203866974897,0.0348922288584062,-0.019336089902061593,-0.07297297297297295,0.5070422535211268,0.021576199266336527,-0.5070422535211268,0.08866995073891637,-0.006559916076152694
identity_hate,any_identity_mention,identity_term_mention_from_jigsaw_comment_text,4802,0.029154518950437316,0.03248646397334444,4603,59,43,97,0.978758850478967,0.6217948717948718,0.6928571428571428,0.9873444873444873,0.012655512655512655,0.30714285714285716,0.6554054054054055,0.9748827909542194,0.025443846848419965,0.028619002909270018,-0.017321425469606133,0.14882189882189883,0.1998993963782696,0.010609664677754694,-0.1998993963782696,0.17264678471575035,-0.01199208575185462
identity_hate,disability,identity_term_mention_from_jigsaw_comment_text,90,0.0,0.011111111111111112,89,1,0,0,0.9888888888888889,0.0,0.0,0.9888888888888889,0.011111111111111112,0.0,0.0,,-0.0037106721020173515,0.0072436500470366896,-0.007191387059684251,-0.47297297297297297,-0.49295774647887325,0.009065263133353152,-0.5070422535211268,-0.48275862068965514,
identity_hate,religion_christian,identity_term_mention_from_jigsaw_comment_text,377,0.01856763925729443,0.021220159151193633,366,4,3,4,0.9814323607427056,0.5,0.5714285714285714,0.9891891891891892,0.010810810810810811,0.42857142857142855,0.5333333333333333,0.9640926640926641,0.014856967155277078,0.01735269808711921,-0.014647915205867612,0.02702702702702703,0.07847082494969815,0.00876496283305285,-0.0784708249496982,0.05057471264367819,-0.022782212613409847
identity_hate,gender_male,identity_term_mention_from_jigsaw_comment_text,2922,0.010609171800136893,0.013347022587268994,2869,22,14,17,0.9876796714579056,0.4358974358974359,0.5483870967741935,0.9923901764095469,0.007609823590453131,0.45161290322580644,0.4857142857142857,0.958196181698486,0.006898499698119542,0.009479561523194572,-0.008400604490667596,-0.03707553707553707,0.05542935029532026,0.00556397561269517,-0.05542935029532031,0.0029556650246305716,-0.028678695007588018
identity_hate,gender_female,identity_term_mention_from_jigsaw_comment_text,1072,0.013992537313432836,0.018656716417910446,1049,8,3,12,0.9897388059701493,0.6,0.8,0.9924314096499527,0.007568590350047304,0.2,0.6857142857142857,0.9957426679280984,0.010281865211415485,0.014789255353836024,-0.006341469978423886,0.127027027027027,0.3070422535211268,0.005522742372289343,-0.30704225352112674,0.20295566502463058,0.008867791222024413
identity_hate,all_comments,identity_term_mention_from_jigsaw_comment_text,23936,0.008815173796791444,0.009608957219251337,23627,98,79,132,0.992605280748663,0.5739130434782609,0.6255924170616114,0.9958693361433087,0.004130663856691254,0.3744075829383886,0.5986394557823129,0.9831950818771568,0.005104501694774093,0.005741496155176915,-0.0034749951999101247,0.10094007050528792,0.13263467058273815,0.0020848158789332936,-0.13263467058273815,0.11588083509265779,-0.0036797948289172266
identity_hate,race_asian,identity_term_mention_from_jigsaw_comment_text,306,0.02287581699346405,0.026143790849673203,298,1,0,7,0.9967320261437909,0.875,1.0,0.9966555183946488,0.0033444816053511705,0.0,0.9333333333333333,0.9966555183946488,0.0191651448914467,0.02227632978559878,0.0006517501952176818,0.40202702702702703,0.5070422535211268,0.00129863362759321,-0.5070422535211268,0.4505747126436782,0.009780641688574843
identity_hate,no_identity_mention,identity_term_mention_from_jigsaw_comment_text,19134,0.0037106721020173515,0.0038674610640744224,19024,39,36,35,0.9960802759485732,0.47297297297297297,0.49295774647887325,0.997954152022242,0.0020458479777579605,0.5070422535211268,0.48275862068965514,0.986874876706074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identity_hate,religion_muslim,identity_term_mention_from_jigsaw_comment_text,170,0.07058823529411765,0.047058823529411764,158,0,4,8,0.9764705882352941,1.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.8,0.9920886075949367,0.0668775631921003,0.04319136246533734,-0.01960968771327909,0.527027027027027,0.17370892018779338,-0.0020458479777579605,-0.17370892018779344,0.3172413793103449,0.005213730888862678
identity_hate,nationality_immigration,identity_term_mention_from_jigsaw_comment_text,83,0.024096385542168676,0.0,81,0,2,0,0.9759036144578314,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.020385713440151325,-0.0038674610640744224,-0.02017666149074182,-0.47297297297297297,-0.49295774647887325,-0.0020458479777579605,0.49295774647887325,-0.48275862068965514,0.013125123293926011
identity_hate,religion_hindu,identity_term_mention_from_jigsaw_comment_text,47,0.02127659574468085,0.02127659574468085,46,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0175659236426635,0.01740913468060643,0.0039197240514268206,0.527027027027027,0.5070422535211268,-0.0020458479777579605,-0.5070422535211268,0.5172413793103449,0.013125123293926011
insult,sexuality_lgbtq,identity_term_mention_from_jigsaw_comment_text,179,0.3463687150837989,0.37988826815642457,98,19,13,49,0.8212290502793296,0.7205882352941176,0.7903225806451613,0.8376068376068376,0.1623931623931624,0.20967741935483872,0.7538461538461538,0.9052936311000828,0.30063860115048646,0.3256915502720303,-0.15744765088090873,-0.004580520732883286,-0.06910599078341018,0.14678442149826126,0.06910599078341015,-0.032764724814933976,-0.0861713059563981
insult,race_latino,identity_term_mention_from_jigsaw_comment_text,33,0.0,0.06060606060606061,31,2,0,0,0.9393939393939394,0.0,0.0,0.9393939393939394,0.06060606060606061,0.0,0.0,,-0.04573011393331243,0.006409342721666336,-0.03928276176629886,-0.7251687560270009,-0.8594285714285714,0.044997319711159466,-0.14057142857142857,-0.7866108786610878,
