label,threshold,f1
toxic,0.05,0.750395222202705
toxic,0.075,0.76221380926627
toxic,0.1,0.7695126419934042
toxic,0.125,0.7755102040816326
toxic,0.15,0.7805243445692884
toxic,0.175,0.7847432024169184
toxic,0.2,0.7871653692804252
toxic,0.225,0.7895439801564587
toxic,0.25,0.7926267281105991
toxic,0.275,0.7957569913211187
toxic,0.3,0.7981384525887144
toxic,0.325,0.80101246105919
toxic,0.35,0.8021870728373365
toxic,0.375,0.8032947636791528
toxic,0.4,0.805593854638566
toxic,0.425,0.8065534938807738
toxic,0.45,0.8081568006335379
toxic,0.475,0.8085021851410409
toxic,0.5,0.8094005178251344
toxic,0.525,0.8110267678785458
toxic,0.55,0.8133413703033956
toxic,0.575,0.8149193548387097
toxic,0.6,0.8157735085945399
toxic,0.625,0.8171475010158472
toxic,0.65,0.8184226615039739
toxic,0.675,0.8193706579485084
toxic,0.7,0.8212600041042479
toxic,0.725,0.8217597362456213
toxic,0.75,0.8233347124534547
toxic,0.775,0.8243861839367458
toxic,0.8,0.826041448607913
toxic,0.825,0.8274699810406573
toxic,0.85,0.8298684768773865
toxic,0.875,0.8320512820512821
toxic,0.9,0.832973672852827
toxic,0.925,0.8337338868254315
toxic,0.95,0.8324059648341865
severe_toxic,0.05,0.3759274525968673
severe_toxic,0.075,0.4007060900264784
severe_toxic,0.1,0.42134831460674155
severe_toxic,0.125,0.4323271665043817
severe_toxic,0.15,0.44132397191574724
severe_toxic,0.175,0.44881075491209926
severe_toxic,0.2,0.4559915164369035
severe_toxic,0.225,0.46054054054054056
severe_toxic,0.25,0.4683684794672586
severe_toxic,0.275,0.47005649717514125
severe_toxic,0.3,0.476409666283084
severe_toxic,0.325,0.479627473806752
severe_toxic,0.35,0.4834123222748815
severe_toxic,0.375,0.4849939975990396
severe_toxic,0.4,0.49148418491484186
severe_toxic,0.425,0.49261083743842365
severe_toxic,0.45,0.49624060150375937
severe_toxic,0.475,0.49242424242424243
severe_toxic,0.5,0.49808429118773945
severe_toxic,0.525,0.49935316946959896
severe_toxic,0.55,0.5058977719528178
severe_toxic,0.575,0.5093833780160858
severe_toxic,0.6,0.5101763907734057
severe_toxic,0.625,0.5082872928176796
severe_toxic,0.65,0.5119549929676512
severe_toxic,0.675,0.50997150997151
severe_toxic,0.7,0.5100864553314121
severe_toxic,0.725,0.5102040816326531
severe_toxic,0.75,0.5088757396449705
severe_toxic,0.775,0.5120481927710844
severe_toxic,0.8,0.5098634294385432
severe_toxic,0.825,0.5154320987654321
severe_toxic,0.85,0.5118483412322274
severe_toxic,0.875,0.5152979066022544
severe_toxic,0.9,0.5207296849087893
severe_toxic,0.925,0.5294117647058824
severe_toxic,0.95,0.5381818181818182
obscene,0.05,0.7414634146341463
obscene,0.075,0.7559449311639549
obscene,0.1,0.7656597774244833
obscene,0.125,0.775153671950825
obscene,0.15,0.7801372100620713
obscene,0.175,0.7848184818481848
obscene,0.2,0.7888260724975058
obscene,0.225,0.7899833055091819
obscene,0.25,0.7920858484238766
obscene,0.275,0.793800539083558
obscene,0.3,0.7964781578056214
obscene,0.325,0.798641765704584
obscene,0.35,0.7997279836790208
obscene,0.375,0.8019158398905234
obscene,0.4,0.804945054945055
obscene,0.425,0.8073078248879697
obscene,0.45,0.8109418282548476
obscene,0.475,0.813783501566307
obscene,0.5,0.8153846153846154
obscene,0.525,0.8175746924428823
obscene,0.55,0.8196258383339217
obscene,0.575,0.8201489890031927
obscene,0.6,0.8217716115261473
obscene,0.625,0.8223096174472649
obscene,0.65,0.8247571068729759
obscene,0.675,0.8268398268398268
obscene,0.7,0.8297101449275363
obscene,0.725,0.8299418604651163
obscene,0.75,0.8282163742690059
obscene,0.775,0.8283198826118855
obscene,0.8,0.8293402137854773
obscene,0.825,0.8336434685522888
obscene,0.85,0.8359550561797753
obscene,0.875,0.8362948960302458
obscene,0.9,0.8373517030233448
obscene,0.925,0.838584208479191
obscene,0.95,0.8389662027833003
threat,0.05,0.362116991643454
threat,0.075,0.42857142857142855
threat,0.1,0.4626865671641791
threat,0.125,0.4959349593495935
threat,0.15,0.5309734513274337
threat,0.175,0.5581395348837209
threat,0.2,0.5619047619047619
threat,0.225,0.5631067961165048
threat,0.25,0.5686274509803921
threat,0.275,0.5771144278606966
threat,0.3,0.5829145728643216
threat,0.325,0.5858585858585859
threat,0.35,0.5816326530612245
threat,0.375,0.5876288659793815
threat,0.4,0.5906735751295337
threat,0.425,0.5906735751295337
threat,0.45,0.59375
threat,0.475,0.59375
threat,0.5,0.6
threat,0.525,0.6
threat,0.55,0.6031746031746031
threat,0.575,0.6031746031746031
threat,0.6,0.6063829787234043
threat,0.625,0.6096256684491979
threat,0.65,0.6195652173913043
threat,0.675,0.6120218579234973
threat,0.7,0.6187845303867403
threat,0.725,0.6256983240223464
threat,0.75,0.6292134831460674
threat,0.775,0.632768361581921
threat,0.8,0.632768361581921
threat,0.825,0.64
threat,0.85,0.6473988439306358
threat,0.875,0.6511627906976745
threat,0.9,0.6470588235294118
threat,0.925,0.6309523809523809
threat,0.95,0.6341463414634146
insult,0.05,0.6654697785757032
insult,0.075,0.6825790452572845
insult,0.1,0.6935023771790808
insult,0.125,0.7020725388601037
insult,0.15,0.7092105263157895
insult,0.175,0.7148086522462562
insult,0.2,0.7175521183591123
insult,0.225,0.7211440245148111
insult,0.25,0.723156089193825
insult,0.275,0.7260179434092477
insult,0.3,0.7289135716765012
insult,0.325,0.7322175732217573
insult,0.35,0.7342215988779803
insult,0.375,0.7378846834099753
insult,0.4,0.7395315826827538
insult,0.425,0.7395796223726399
insult,0.45,0.7417739628040058
insult,0.475,0.7422606191504679
insult,0.5,0.7437658113480303
insult,0.525,0.7466375863322429
insult,0.55,0.7468030690537084
insult,0.575,0.7464220183486239
insult,0.6,0.746774788057501
insult,0.625,0.7479614529280949
insult,0.65,0.7493482309124767
insult,0.675,0.74943904263276
