label,threshold,f1
toxic,0.05,0.7619047619047619
toxic,0.075,0.774431923147977
toxic,0.1,0.7824126268320181
toxic,0.125,0.7891026862259478
toxic,0.15,0.7940723633564281
toxic,0.175,0.796515004840271
toxic,0.2,0.7996876220226474
toxic,0.225,0.8031434184675835
toxic,0.25,0.8037088183073584
toxic,0.275,0.8042789223454834
toxic,0.3,0.8058870326173428
toxic,0.325,0.8081453383908964
toxic,0.35,0.8071228491396558
toxic,0.375,0.8085961036352681
toxic,0.4,0.8116293155663235
toxic,0.425,0.8126392546080615
toxic,0.45,0.8135662063363119
toxic,0.475,0.8146788990825689
toxic,0.5,0.8157248157248157
toxic,0.525,0.8169303472364906
toxic,0.55,0.817900598061456
toxic,0.575,0.8197264815582262
toxic,0.6,0.8211314475873545
toxic,0.625,0.8217636022514071
toxic,0.65,0.8217118997912317
toxic,0.675,0.8224455611390284
toxic,0.7,0.8241227148560621
toxic,0.725,0.8259587020648967
toxic,0.75,0.827688399661304
toxic,0.775,0.8290507538755575
toxic,0.8,0.8288211468769985
toxic,0.825,0.8287245444801715
toxic,0.85,0.8294155704119043
toxic,0.875,0.8309767239504025
toxic,0.9,0.8309859154929577
toxic,0.925,0.8312903944729217
toxic,0.95,0.8295790671217292
severe_toxic,0.05,0.41890639481000924
severe_toxic,0.075,0.43824701195219123
severe_toxic,0.1,0.44845908607863977
severe_toxic,0.125,0.4598459845984598
severe_toxic,0.15,0.4666666666666667
severe_toxic,0.175,0.475177304964539
severe_toxic,0.2,0.4853658536585366
severe_toxic,0.225,0.49625935162094764
severe_toxic,0.25,0.5057766367137355
severe_toxic,0.275,0.5111402359108781
severe_toxic,0.3,0.522207267833109
severe_toxic,0.325,0.5260273972602739
severe_toxic,0.35,0.5325936199722607
severe_toxic,0.375,0.5365168539325843
severe_toxic,0.4,0.5342857142857143
severe_toxic,0.425,0.5367965367965368
severe_toxic,0.45,0.5343065693430656
severe_toxic,0.475,0.5281899109792285
severe_toxic,0.5,0.525679758308157
severe_toxic,0.525,0.5345622119815668
severe_toxic,0.55,0.5352112676056338
severe_toxic,0.575,0.532051282051282
severe_toxic,0.6,0.531810766721044
severe_toxic,0.625,0.5293132328308208
severe_toxic,0.65,0.5306122448979592
severe_toxic,0.675,0.5301204819277109
severe_toxic,0.7,0.5321739130434783
severe_toxic,0.725,0.5314685314685315
severe_toxic,0.75,0.5354609929078015
severe_toxic,0.775,0.5402504472271914
severe_toxic,0.8,0.5415162454873647
severe_toxic,0.825,0.5321100917431193
severe_toxic,0.85,0.5308411214953271
severe_toxic,0.875,0.5295238095238095
severe_toxic,0.9,0.5215686274509804
severe_toxic,0.925,0.5173116089613035
severe_toxic,0.95,0.5075268817204301
obscene,0.05,0.7145359019264448
obscene,0.075,0.741421568627451
obscene,0.1,0.761723700887199
obscene,0.125,0.7739018087855297
obscene,0.15,0.7830930537352556
obscene,0.175,0.789665452136469
obscene,0.2,0.7941176470588235
obscene,0.225,0.7952941176470588
obscene,0.25,0.8020373514431239
obscene,0.275,0.8027350427350427
obscene,0.3,0.8066070199587061
obscene,0.325,0.8103986135181975
obscene,0.35,0.8140913847227067
obscene,0.375,0.8184053389532842
obscene,0.4,0.8195912614517266
obscene,0.425,0.8205309734513274
obscene,0.45,0.8208955223880597
obscene,0.475,0.8228571428571428
obscene,0.5,0.8251346499102334
obscene,0.525,0.8268398268398268
obscene,0.55,0.8269858541893362
obscene,0.575,0.8282901932191031
obscene,0.6,0.8288222384784198
obscene,0.625,0.8331491712707182
obscene,0.65,0.837037037037037
obscene,0.675,0.8355654761904762
obscene,0.7,0.8363228699551569
obscene,0.725,0.8384673178061608
obscene,0.75,0.8381742738589212
obscene,0.775,0.8376327769347496
obscene,0.8,0.8373333333333334
obscene,0.825,0.8392036753445635
obscene,0.85,0.8363496341933
obscene,0.875,0.8352668213457076
obscene,0.9,0.8359375
obscene,0.925,0.8373015873015873
obscene,0.95,0.8383428107229894
threat,0.05,0.6073298429319371
threat,0.075,0.5869565217391305
threat,0.1,0.6033519553072626
threat,0.125,0.6101694915254238
threat,0.15,0.6127167630057804
threat,0.175,0.6235294117647059
threat,0.2,0.6265060240963856
threat,0.225,0.6219512195121951
threat,0.25,0.6257668711656442
threat,0.275,0.6257668711656442
threat,0.3,0.6296296296296297
threat,0.325,0.6296296296296297
threat,0.35,0.6335403726708074
threat,0.375,0.6415094339622641
threat,0.4,0.632258064516129
threat,0.425,0.6274509803921569
threat,0.45,0.6274509803921569
threat,0.475,0.6357615894039735
threat,0.5,0.6357615894039735
threat,0.525,0.6357615894039735
